date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:11:28	42864/42864	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2002:11:28%20GMT	https://www.careerhunter.io/careers	C:/My%20Web%20Sites/news/www.careerhunter.io/careers.html	(from )
09:11:29	213/213	---MCZ	200	added ('OK')	text/plain	etag:W/%2266163e84-134%22	https://www.careerhunter.io/robots.txt		(from )
09:11:29	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2014%20May%202024%2002:11:29%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/news/www.googletagmanager.com/gtm.15445.delayed	(from https://www.careerhunter.io/careers)
09:11:29	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20May%202024%2002:11:30%20GMT	http://cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.css	C:/My%20Web%20Sites/news/cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.2.delayed	(from https://www.careerhunter.io/careers)
09:11:31	424459/424459	---M-Z	200	added ('OK')	text/css	etag:%2265b36661-e0f9%22	https://cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.css	C:/My%20Web%20Sites/news/cdn2.careerhunter.io/assets/application-349b29af163d5822a096212e2dd202386f20dc4d2f59953f2fd3e210070ad75c.css	(from https://www.careerhunter.io/careers)
09:11:31	42789/42789	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2002:11:32%20GMT	https://www.careerhunter.io/careers?page=2	C:/My%20Web%20Sites/news/www.careerhunter.io/careers4658.html	(from https://www.careerhunter.io/careers)
09:11:32	38808/38808	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2002:11:32%20GMT	https://www.careerhunter.io/	C:/My%20Web%20Sites/news/www.careerhunter.io/index.html	(from https://www.careerhunter.io/careers)
09:11:32	30029/30029	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2002:11:32%20GMT	https://www.careerhunter.io/tests/interests	C:/My%20Web%20Sites/news/www.careerhunter.io/tests/interests.html	(from https://www.careerhunter.io/careers)
09:11:32	30023/30023	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2002:11:33%20GMT	https://www.careerhunter.io/tests/personality	C:/My%20Web%20Sites/news/www.careerhunter.io/tests/personality.html	(from https://www.careerhunter.io/careers)
09:11:33	30316/30316	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20May%202024%2002:11:33%20GMT	https://www.careerhunter.io/tests/motivators	C:/My%20Web%20Sites/news/www.careerhunter.io/tests/motivators.html	(from https://www.careerhunter.io/careers)
